FS_Method,Model,F1_mean,Acc_mean,Time_sec,Memory_MB,Num_Features,Jaccard,Kuncheva,Domain
Chi2,LogReg,0.9319516096293587,0.9385222315046876,1.0709120432535808,168.30208333333334,10.0,1.0,0.999999999995,BreastCancer
Chi2,RF,0.9390220131620016,0.9437853893994244,1.1975592772165935,169.17057291666666,10.0,1.0,0.999999999995,BreastCancer
RFE,LogReg,0.9513368292212278,0.9561032210155016,1.1496719519297285,170.33984375,10.0,1.0,0.999999999995,BreastCancer
RFE,RF,0.9468046627266448,0.9508214981899192,1.1474250952402751,170.34375,10.0,1.0,0.999999999995,BreastCancer
LASSO,LogReg,0.9478064470995464,0.9525758841548316,1.067978461583455,170.63541666666666,6.0,1.0,0.9999999999930556,BreastCancer
LASSO,RF,0.956195264385828,0.9596119929453264,1.0866600672403972,170.8046875,6.0,1.0,0.9999999999930556,BreastCancer
Chi2,LogReg,0.2844896708409319,0.2920272841827723,1.2707702318827312,651.0247395833334,10.0,1.0,0.9999999999979168,20Newsgroups
Chi2,RF,0.2624041356608457,0.2584410534188701,1.2954241434733074,669.60546875,10.0,1.0,0.9999999999979168,20Newsgroups
RFE,LogReg,0.2369934460496678,0.2759408863328714,8.016252279281616,682.8828125,10.0,1.0,0.9999999999979168,20Newsgroups
RFE,RF,0.2678745165690961,0.2876968978433861,8.181068897247314,763.296875,10.0,1.0,0.9999999999979168,20Newsgroups
LASSO,LogReg,0.2485030091167642,0.290524330392901,8.990359226862589,723.15625,10.0,1.0,0.9999999999979168,20Newsgroups
LASSO,RF,0.284360701532205,0.3013075873728541,7.286046187082927,766.6744791666666,10.0,1.0,0.9999999999979168,20Newsgroups
Chi2,LogReg,0.3386986217854607,0.3895285642407266,1.989081064860026,1428.1783854166667,10.0,1.0,0.9999999999994736,MNIST
Chi2,RF,0.3963122167580186,0.4234713938468109,2.599078893661499,1531.1614583333333,10.0,1.0,0.9999999999994736,MNIST
RFE,LogReg,0.7221021726123519,0.7319000264208063,548.3771616617838,1685.796875,10.0,1.0,0.9999999999994736,MNIST
RFE,RF,0.8438571814266705,0.8467142895292166,433.7349631786346,1644.05078125,10.0,1.0,0.9999999999994736,MNIST
LASSO,LogReg,0.6811259067798446,0.6938857308952263,269.781051715215,1698.6015625,10.0,1.0,0.9999999999994736,MNIST
LASSO,RF,0.8094189176106955,0.8137571729847766,268.9902901649475,1769.9348958333333,10.0,1.0,0.9999999999994736,MNIST
